estudiante_id,asignatura_id,nota,fecha
6c2cd0ea-1bd0-4322-8760-540fcea7e355,7281bdf9-3cfe-4039-a8b9-54dd387a31db,4.8,2024-09-07
975bfd5e-5224-4c79-a388-3cbe11d8e09e,90dd88c7-b3d7-4699-bcfe-9e871d422271,3.0,2024-09-18
b1b202ce-f979-4768-8298-ea4bfdf771f5,d986f6ae-4d06-498a-a8a1-c95ded519238,1.0,2024-10-20
a1b6e0a3-a363-49af-ad1f-5655db818b34,239c5b63-1cb3-4f5b-8da2-09dc6725730a,2.0,2025-01-24
69f0f85a-f26e-487f-8fe2-4a20aac95b9d,e30a7674-af5b-4a6c-8964-a353d89d8791,1.4,2025-03-09
b498b38d-1e1e-452c-afda-8f6ae26830a9,88e108b0-79f9-4665-87bc-9d629dbc6a6b,1.2,2024-06-17
100feef2-2c92-4723-8998-ee9984533b13,10bb3801-042d-449d-b0ce-8334f537d442,3.0,2024-07-23
1e02b54e-2609-4d20-b85f-22beaa5374a3,f2cb0ced-7b1b-4760-9315-e6bf75fefdc3,2.8,2025-01-10
6f047aac-8996-4cb1-8466-522754cc3cde,cd764296-a316-43f3-897f-b2311bf0340b,2.9,2024-12-24
72292c93-6333-479e-9cce-7e4544c9cbf6,c0b04b76-6308-48c8-b5ee-4c337b4fc484,2.6,2025-05-17
8557f272-c147-42cc-88a2-df1ab0eb917d,2398268d-720a-45b8-93cb-91eac862a95a,4.2,2025-02-03
ca588b55-a909-4b0f-bc25-af30cd0acf28,3b33e9d5-156c-486d-a912-665fa0049ba6,2.8,2024-12-04
61829a31-27b7-4d4c-b83b-e782e1c3e12c,7f71fdfb-2a7b-4db0-a0a9-b9b7266bdeda,4.7,2024-06-10
71c92613-6b89-4a53-89cb-c940267514c7,a63f0ce4-f520-4ccf-be31-c838dc540ee0,2.4,2024-09-01
ffaef345-21e6-4862-95f2-9bc8dac0b3eb,164c874f-f6a7-4908-88c8-372936e3d4f2,1.8,2024-12-26
7ed7d2d2-975e-4750-aa9f-8eee60530514,0811530d-6b5c-4bbe-9700-15f21ef35df0,4.5,2025-05-26
7b5d53f0-edcb-4f3d-ba78-aa6a21e273a7,c934b43f-30f8-4bb6-a4d4-a845a0b32805,3.1,2025-02-27
31e040a4-d2f7-469e-bbe6-bd97846f46de,c9d35af5-1315-4905-9b89-a9f5776f5a7c,2.5,2024-10-21
f6c3bf32-fd97-4c23-912c-4ff38146ae55,c9d35af5-1315-4905-9b89-a9f5776f5a7c,2.7,2025-03-21
36aca9e2-7235-4167-bfea-a9611ec3eeca,06f3d5c8-39e8-448b-87bd-4a94ef56ced5,2.2,2025-01-27
153b8fa1-c6d0-4c3f-9d76-857d5a28b221,f875ed56-9140-49bc-9e1b-270800dc0407,4.4,2025-05-03
d13fa9d9-0042-48f9-86e4-2b047329ae3f,f9566387-32d2-4657-883c-c1305af2b54b,4.1,2025-03-24
19244bfc-ec8d-4536-a592-8ad26d85c278,7c69af16-0acc-4dc3-ba8f-026c925facc3,2.3,2025-04-16
ef393d76-f8cc-4e7f-b663-5aa12f5e3d06,a24618af-3c33-4667-b7c8-f46731e14869,2.1,2025-02-05
2d034695-bec5-488d-982e-26c2fc3c8769,9962a623-66c4-47a3-b8eb-b5935f471746,3.5,2024-12-06
735d2b71-c069-4179-8715-a6441283af57,b38c1f23-23d4-49b7-bd0d-ee6b28d8a08b,4.9,2025-05-19
84d08fda-8ce2-406a-8baf-e1ef6d8710ed,e30a7674-af5b-4a6c-8964-a353d89d8791,3.6,2024-09-27
482e9004-da83-45c2-b0d9-d3f9915d6515,1be17ab9-e7bb-4c92-87b3-751a3f71d423,3.4,2025-03-15
7463a3ba-939e-48b3-8468-b22a11590ef9,aee747a3-9727-44e1-9bdd-6bdb7824d30e,3.7,2025-05-24
1777949d-a174-4149-a715-9e6f42289ffd,51a89d5f-b64a-4a1e-9127-946210998c97,1.5,2025-05-16
ca64cc13-25c2-44e1-85a0-4f4ef076db42,a63f0ce4-f520-4ccf-be31-c838dc540ee0,1.5,2024-06-30
975f1229-932c-4fa5-b0b3-901b9196f96a,be9013e9-2b42-452f-9e1f-7b82f1e208f5,4.5,2025-04-14
e94274a8-3090-4e58-9e25-28146efaf3c9,1b559645-cd67-4a47-9b10-aed735d25ad6,1.2,2024-11-28
d5d220fe-7450-4af4-b21c-725c6cf54c89,4009bd95-3d3c-4141-bd27-71ab7dacf1d9,2.6,2024-09-16
a37c6a07-95f9-4041-a69c-9a198b607ec7,4ea7d76a-c33a-4b7c-a996-da98d77c4a7b,3.4,2024-12-27
6d444c8e-22d4-4c26-8775-a71ff7346111,42778d69-c699-49ee-af8e-e776a22205f3,4.2,2025-05-05
2e7dd973-a635-48b0-84b6-e9f6a722d36a,34f8d238-366d-4d2b-9afe-13705bf05927,3.3,2024-08-29
df26b2da-59f3-4657-ad80-d99371251c9b,316e8542-42e2-4659-94e0-5061fba6ef4c,2.1,2024-10-02
41576050-d722-488c-8401-87b458c377b5,2e16c68e-4c34-4f8a-912d-29876a13a115,1.3,2024-07-16
96b180e8-d9b0-4ec1-8c99-4eb686e3ebf2,32a35fcb-2818-4e71-8d1a-ce06e3b59e03,1.7,2025-01-19
cfffcaa3-2913-4867-8dcf-0c5f0e9c39d8,71351b45-0edf-4a66-ae84-58661bbe773f,4.3,2024-10-07
06005626-a78f-4e48-8d7e-96811060904c,bc8c2552-e41b-4115-9bd7-cb7bb13c6f4b,4.8,2025-06-01
8ea0e1c7-5a54-444f-a067-33d0fede5b39,34b88c26-04f6-4fd0-9515-f987e3449492,2.8,2024-08-12
1ba50242-3d7e-4656-89a6-ec59fe7eb832,a173967e-2950-49d8-b2ec-b14ae4f08b82,3.2,2024-10-02
50c43830-9da6-4446-b442-531f93510094,302df847-07fb-4785-86d4-cc570267f0a5,2.3,2024-10-30
2d99c008-a24a-47ad-ac9b-52d5fd45338a,79af1d24-42e0-4866-80ef-000f26fdf865,3.2,2025-02-03
2af4ac58-8b8f-4c9f-95e6-1ad52e1a62e1,c1f28323-ea1b-4ee7-8748-dd2032bad6b5,1.2,2024-06-08
23179fba-1c1c-46d6-9ffa-bec2cbd74401,d0087c23-8a67-4735-9b64-df59dcd095be,3.6,2024-11-13
908d9397-c64d-43ec-bae7-a794fdbc63e2,53aba77a-744f-41bf-89cd-de1e11fa609a,3.8,2024-06-19
0b4e962d-bc9c-4b89-a878-e101aa8e6b46,435154f0-ffc0-4a29-9109-f9cf946c036f,1.1,2024-09-20
e72b351e-06ce-4501-a50b-bedb6a60a0de,f88f3d43-35cf-438a-bdc8-dca21cdc23c9,4.6,2025-03-28
56b5346f-be5b-4c92-b301-6fdb078a0cc2,b5a44ae3-7fb3-4f2a-8d29-dde3a112d0a4,2.4,2025-05-25
74eb3f77-1c47-49d9-b32b-9a05ef7449d2,8fcce15f-b2d5-4d76-89ef-e8bdfa2b0e55,4.8,2024-07-30
b8acdf93-c7f9-42d7-9e58-fd9a4eec1f4a,56116c80-9cbd-4358-9e26-faa54959cf38,2.3,2024-10-20
6311826e-839d-413e-9940-eb56d1a3b456,82c86c90-7c18-4a2d-9dbc-5f9f7afc7249,1.3,2024-09-29
11033620-57e4-430e-bd93-1fca1555941c,4da8197e-0b7d-4ef9-aa71-33729882b903,2.7,2024-09-05
b2c1a0e5-e6b0-420d-8e9a-ae07529be788,50feb71a-da3e-4a0e-aa62-411c026fb63e,3.7,2025-04-09
8c6f1c02-b1ee-4787-b019-ad4b517af901,a9caafd1-3c2c-495b-877d-9fb415e14ec0,4.2,2025-04-28
0f565f27-66b7-4918-8e1a-1dd232f932d5,c9bf1fab-3541-4a94-ad4d-c295e171d1e1,2.8,2024-06-29
912d5b06-ed39-4b0c-b4b9-f967ad9d397f,a11c1713-ad30-4881-88e1-b3afad177ebe,4.7,2024-09-19
be254b74-bf3a-4ae4-b1fa-845ea07cb796,224ee955-da75-4ed8-b3d7-edde163581f5,1.6,2025-02-11
8859aa2a-9c2a-4efa-b47b-880ce100b6be,92939eb3-aaa9-4b1e-953d-4c33ce7c28da,2.0,2024-07-05
d14834c0-a8ad-44f9-9761-1e8dae5e5be1,1f281754-7c7a-4982-8c76-0369a66a33ab,3.6,2024-08-23
c87fdf0e-9314-4dc5-93ee-34bba015b6a9,972cee7b-5931-4a36-ac8c-84db2f712fd5,5.0,2024-12-30
100feef2-2c92-4723-8998-ee9984533b13,7db30b45-3c21-4a1f-818d-90bd40843d96,3.5,2024-07-10
4252a7e0-146e-4b14-a41e-6876dbcb2bb6,458fd9d7-9591-4c6c-b7b4-f1de3bc5de62,1.4,2024-10-11
e091f9f0-2ebc-4863-b17f-528ecc87a078,06e5d8ea-471c-4d9a-a407-ba4f250658bb,1.5,2025-04-14
9808ebd5-60ac-4815-9380-fd460b81facd,b6aec572-66b1-4f06-b2d8-5c6bfabddb67,3.9,2025-05-30
15a9811b-d198-4904-a919-7d31fc7cec23,08278d06-c7db-403b-bad5-1b9ada7be823,2.6,2024-12-03
6b971f82-6801-4171-8111-25513239184c,8ede85bc-de94-4dd5-9840-a520fa39b0f6,1.5,2025-05-09
e147220a-76db-499b-9843-5b989270ab10,b29b2b68-5f09-4f5f-854e-cfd856fcc1f8,3.2,2024-07-21
f1faf557-4e0b-4773-8f50-a17e1314f9a9,4e932149-3330-41b0-8351-541834902e8b,4.1,2024-09-12
c68b4c33-efbb-4094-947e-206364a3547b,97e06125-e43d-41cc-8c8f-173fe9606b44,2.3,2025-02-02
c288f95a-b65a-4923-b0f2-22a466b8f8c5,7b4bd660-a2a8-415b-8ffd-17bf807ad812,2.9,2024-06-19
4395367c-ff34-4335-8d0d-65063c1fdb88,6ad2a97a-9981-41cb-a02d-eae9665bb2b4,4.4,2024-09-02
f528405e-0774-4cf1-92b5-894dcc1ec268,d3e6321d-a6aa-41fd-a18d-bc3eb7cbb66c,2.2,2025-02-22
399e2e6c-da87-495d-b176-d703eb7d15d8,be83944e-5ecb-4f36-8af6-e605e546a4a6,2.1,2024-06-09
07747bae-0f8a-4974-912f-adc3ca94e90a,bc36b677-b57d-480d-8957-463b179d712e,1.3,2024-10-14
9656171f-afe2-42c4-b110-83c377f4d06f,161a3bd3-d165-4389-a30b-f63b2083ab59,2.4,2024-07-07
867b9ce3-0989-4cb6-bc98-361f1e3615da,aa5458b9-5136-42b4-a7a4-da53ae13c8ad,3.3,2025-04-10
4fb82d25-3071-415f-a163-c5b15a0319e3,6ad2a97a-9981-41cb-a02d-eae9665bb2b4,2.8,2025-04-11
8dd4c588-a4ae-4d5e-b4d7-7078519667ea,21229632-22ac-4667-a806-028aff287914,3.1,2024-12-20
6b81c4a9-d1cd-4015-a1ff-2ff72aa89e06,dec490c3-a7fe-46e4-b296-33baa1cb9b5d,1.9,2024-09-29
5cf15c97-4e45-440d-bead-d3977fa9465e,87cb3ebf-ddae-4768-9238-5437b89fe936,4.0,2024-09-21
89521630-0be8-4d1f-8443-dfc585517361,c195536b-1a74-4617-af10-b07de00c5b1b,2.2,2024-08-10
5dc6b1dd-377c-4e29-ba77-9c3012af82ec,0e1360dc-239a-43f1-a7a7-c76ae756f467,3.4,2024-10-09
ecb02eff-c9c3-4dff-9510-cbbdf1603c50,66bae651-c161-4d8d-8f73-1f316ef4d278,2.1,2025-03-23
1777949d-a174-4149-a715-9e6f42289ffd,d7df4406-30d7-4b5e-833d-aa12e420057e,4.6,2025-04-17
576c9bed-716d-4349-bd5a-ff7656cb9201,43d88de3-5820-42db-b0f4-525bdfe2706a,4.3,2025-06-04
aadc20ea-3cae-4a1f-991a-379ab2b10703,be9013e9-2b42-452f-9e1f-7b82f1e208f5,3.0,2025-02-02
87dde4b0-941f-4d83-99d1-f535270fd131,966fb22e-3808-4c24-8aee-3913d5741e43,2.8,2024-12-21
c27fad34-9ec4-4cd7-95b4-5348e3621319,5097bdc1-7c30-49c1-a355-d951e20d108a,1.5,2025-01-06
6eb90879-8745-457b-be1c-2c3212c50cd1,b71292ef-a0d7-4ede-a8f9-14096858a219,4.4,2024-06-23
47c788b8-5ea2-4295-adf5-9ba338e5192d,490632e7-2d8f-4851-8a19-cf077fbdee21,2.8,2025-04-07
9ff98be3-27b4-4a83-bb5f-62f74903ff06,7808cad6-48ec-4820-8ecf-b72c72a0ada7,4.8,2024-12-21
625c8036-c495-4694-b2df-f6b93d081d40,8d491dea-e14d-485c-9c7c-e9796edf482f,4.3,2025-04-27
9fab0ff9-86b3-4441-bb76-bb3b78ca380c,8fd7b7ef-c710-4a0a-9d8a-38358689a4e3,2.8,2024-11-27
74260e4f-fcdd-45dc-8f4a-2d53c0ab033f,e08b41c3-9bf1-4ec9-bb27-76f108c8d886,2.1,2025-06-02
cbb7fcb0-a11d-49dc-878f-98fbd4ab54e7,01b6e99d-b058-4e1a-b0b5-471eda35d98b,4.3,2024-12-31
885b49a7-82e3-46f1-a8b7-cdf567d6c1a3,87cb3ebf-ddae-4768-9238-5437b89fe936,1.8,2024-07-12
bcf9f930-53a0-43ed-9370-07a79fba3fa9,fdba0c9b-fb56-4944-a424-164897367ace,1.7,2024-06-22
cf163340-f009-49c4-a0b9-562bd28a98c5,b4ff4811-524e-4d7d-964f-64d73d5fa3ea,2.5,2024-09-01
90db6337-efb3-4dcc-8c30-f3160a6ef5de,07831e38-c24f-4699-b5a6-241671d9e2d1,2.6,2024-09-06
db6914b1-a284-4d04-bbf6-afb3b51d9b00,ae7aa836-fb7f-4144-abab-c76ea9d152d6,1.2,2025-03-23
ba7db9c3-dc19-4230-8e60-84ac06925c6f,f449b66a-06f1-4c9c-bc43-38aa329654ad,2.0,2025-03-27
d859a096-0395-49b5-ae19-83599e5794f9,52b36060-b909-40e8-9176-d458a982bca9,4.0,2025-03-29
85e7b31f-b19d-4a4a-baae-16c3649751a7,4dea0fd1-2567-41b8-ba01-855d8bd41f78,4.0,2024-08-21
